Title,Subscribers_count,views_avg
BILLIE EILISH,41600000,95000000
Bad Bunny,13400000,33300000
Chipmunks of TikTok,11400000,25000000
charli d’amelio,135400000,18700000
Yessica y Moises 🦜,263700,16700000
The Rock,49700000,24700000
ThePruld,433300,12200000
Luke Donkin,2000000,14000000
mastertingus,1300000,13400000
TOMORROW X TOGETHER,15300000,7200000
Best of TikTok,1800000,55900000
Colson,3200000,17500000
Jennifer Kershner,12500,6400000
Noah Schnapp,20100000,8600000
B. Dylan Hollis,6400000,9100000
Benjamin Bakke,3700000,13100000
Sylvaniandrama,1800000,5500000
Fernanda,24600000,12900000
Mercy,404500,11800000
Byron Tremain Chandl,601800,8700000
Bella Poarch,87900000,15400000
Jacob Witzling,236000,9500000
🎀КАРНАВАЛ🎀,22400000,11800000
Kimberly Loaiza,59000000,10400000
Parth Patel,179600,14100000
enhypen,10100000,4800000
Jasmine Chiswell,14700000,13900000
Khabane lame,131100000,13800000
欸！雨群 YuChun,1600000,9300000
Mia Khalifa,31800000,13800000
Dominik,48500000,9700000
deepins,16600000,9700000
Kenneth Kaas,102500,12000000
Daniel Gorringe,4500000,5700000
NCT Official,7000000,4000000
JÃO,1100000,8100000
Kjsmoothh,2000000,6700000
Logan Paul,14000000,12200000
Pongámoslo a Prueba,28100000,13200000
nei.okey,9700,5200000
Gusti Bintang,982600,5700000
Mero_428,1300000,585300
Zeth,10600000,8500000
Addison Rae,86500000,9500000
Savanah Moss,8600000,10300000
Kali and arie,327000,8700000
NileRed,8400000,6500000
"Fe, Fuerza y Esperanza 🙏🏻",717700,7200000
Mackenzie Ziegler,22000000,10300000
